
<!-- saved from url=(0203)https://www.wunderground.com/history/airport/KLRO/2016/5/13/DailyHistory.html?req_city=Mount+Pleasant&req_state=SC&req_statename=South+Carolina&reqdb.zip=29464&reqdb.magic=1&reqdb.wmo=99999&MR=1&format=1 -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body>TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br>
12:15 AM,73.4,69.8,88,30.04,10.0,SSW,6.9,-,N/A,,Clear,210,2016-05-13 04:15:00<br>
12:35 AM,73.4,69.8,88,30.06,10.0,WSW,9.2,-,N/A,,Clear,250,2016-05-13 04:35:00<br>
12:55 AM,73.4,69.8,88,30.06,10.0,West,9.2,-,N/A,,Scattered Clouds,260,2016-05-13 04:55:00<br>
1:15 AM,73.4,69.8,88,30.05,10.0,WSW,8.1,-,N/A,,Partly Cloudy,240,2016-05-13 05:15:00<br>
1:35 AM,73.4,68.0,83,30.04,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 05:35:00<br>
1:55 AM,73.4,68.0,83,30.03,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 05:55:00<br>
2:15 AM,73.4,68.0,83,30.02,10.0,SW,5.8,-,N/A,,Clear,220,2016-05-13 06:15:00<br>
2:35 AM,73.4,66.2,78,30.01,10.0,SSW,3.5,-,N/A,,Clear,210,2016-05-13 06:35:00<br>
2:55 AM,73.4,66.2,78,30.00,10.0,South,6.9,-,N/A,,Clear,190,2016-05-13 06:55:00<br>
3:15 AM,73.4,66.2,78,29.98,10.0,South,6.9,-,N/A,Rain,Light Rain,180,2016-05-13 07:15:00<br>
3:35 AM,73.4,66.2,78,29.98,10.0,South,3.5,-,N/A,,Clear,170,2016-05-13 07:35:00<br>
3:55 AM,71.6,66.2,83,29.98,10.0,SSW,8.1,-,N/A,,Clear,200,2016-05-13 07:55:00<br>
4:15 AM,71.6,64.4,78,29.99,10.0,South,8.1,-,N/A,,Clear,190,2016-05-13 08:15:00<br>
4:35 AM,71.6,66.2,83,30.00,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 08:35:00<br>
4:55 AM,71.6,66.2,83,29.99,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 08:55:00<br>
5:15 AM,71.6,66.2,83,29.98,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 09:15:00<br>
5:35 AM,71.6,66.2,83,29.97,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 09:35:00<br>
5:55 AM,69.8,66.2,88,29.97,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 09:55:00<br>
6:15 AM,69.8,66.2,88,29.97,10.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 10:15:00<br>
6:35 AM,69.8,66.2,88,29.98,9.0,Calm,Calm,-,N/A,,Clear,0,2016-05-13 10:35:00<br>
6:55 AM,71.6,68.0,88,29.98,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-05-13 10:55:00<br>
7:15 AM,73.4,69.8,88,29.99,9.0,South,6.9,-,N/A,,Clear,190,2016-05-13 11:15:00<br>
7:35 AM,73.4,69.8,88,29.98,9.0,South,5.8,-,N/A,,Clear,190,2016-05-13 11:35:00<br>
7:55 AM,75.2,71.6,89,29.98,9.0,SSW,10.4,-,N/A,,Clear,200,2016-05-13 11:55:00<br>
8:15 AM,75.2,71.6,89,29.98,10.0,South,6.9,-,N/A,,Clear,190,2016-05-13 12:15:00<br>
8:35 AM,77.0,71.6,83,29.98,10.0,SSW,9.2,-,N/A,,Partly Cloudy,200,2016-05-13 12:35:00<br>
8:55 AM,78.8,71.6,78,29.98,10.0,SSW,10.4,-,N/A,,Partly Cloudy,210,2016-05-13 12:55:00<br>
9:15 AM,78.8,71.6,78,29.97,9.0,South,9.2,-,N/A,,Partly Cloudy,190,2016-05-13 13:15:00<br>
9:35 AM,78.8,71.6,78,29.97,9.0,South,6.9,-,N/A,,Mostly Cloudy,180,2016-05-13 13:35:00<br>
9:55 AM,78.8,71.6,78,29.97,9.0,SSW,6.9,-,N/A,,Scattered Clouds,200,2016-05-13 13:55:00<br>
10:15 AM,80.6,71.6,74,29.97,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2016-05-13 14:15:00<br>
10:35 AM,80.6,71.6,74,29.97,10.0,SW,3.5,-,N/A,,Partly Cloudy,220,2016-05-13 14:35:00<br>
10:55 AM,82.4,71.6,70,29.96,10.0,South,3.5,-,N/A,,Clear,180,2016-05-13 14:55:00<br>
11:15 AM,82.4,69.8,66,29.96,9.0,SSW,5.8,-,N/A,,Clear,200,2016-05-13 15:15:00<br>
11:35 AM,84.2,69.8,62,29.96,9.0,WSW,8.1,-,N/A,,Clear,240,2016-05-13 15:35:00<br>
11:55 AM,84.2,69.8,62,29.95,10.0,West,4.6,-,N/A,,Clear,280,2016-05-13 15:55:00<br>
12:15 PM,86.0,69.8,58,29.94,9.0,West,4.6,-,N/A,,Clear,260,2016-05-13 16:15:00<br>
12:35 PM,86.0,69.8,58,29.94,9.0,West,5.8,-,N/A,,Clear,260,2016-05-13 16:35:00<br>
12:55 PM,84.2,73.4,70,29.93,9.0,SSE,6.9,-,N/A,,Clear,160,2016-05-13 16:55:00<br>
1:15 PM,82.4,73.4,74,29.93,9.0,SSE,9.2,-,N/A,,Partly Cloudy,160,2016-05-13 17:15:00<br>
1:35 PM,82.4,73.4,74,29.92,9.0,SSE,11.5,-,N/A,,Scattered Clouds,160,2016-05-13 17:35:00<br>
1:55 PM,80.6,69.8,70,29.92,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2016-05-13 17:55:00<br>
2:15 PM,82.4,71.6,70,29.91,9.0,South,10.4,-,N/A,,Scattered Clouds,180,2016-05-13 18:15:00<br>
2:35 PM,84.2,71.6,66,29.92,9.0,South,17.3,20.7,N/A,,Partly Cloudy,190,2016-05-13 18:35:00<br>
2:55 PM,80.6,64.4,58,29.92,10.0,South,11.5,23.0,N/A,,Partly Cloudy,170,2016-05-13 18:55:00<br>
3:15 PM,77.0,60.8,57,29.91,10.0,South,6.9,-,N/A,,Partly Cloudy,170,2016-05-13 19:15:00<br>
3:35 PM,75.2,64.4,69,29.91,8.0,South,5.8,-,N/A,Rain,Light Rain,190,2016-05-13 19:35:00<br>
3:55 PM,75.2,66.2,73,29.90,10.0,SSW,5.8,-,N/A,,Partly Cloudy,200,2016-05-13 19:55:00<br>
4:15 PM,80.6,66.2,61,29.89,10.0,SSW,5.8,-,N/A,,Clear,210,2016-05-13 20:15:00<br>
4:35 PM,84.2,68.0,58,29.89,10.0,SSW,5.8,-,N/A,,Clear,200,2016-05-13 20:35:00<br>
4:55 PM,84.2,68.0,58,29.89,10.0,SSW,5.8,-,N/A,,Partly Cloudy,200,2016-05-13 20:55:00<br>
5:15 PM,84.2,71.6,66,29.88,10.0,South,10.4,-,N/A,,Partly Cloudy,170,2016-05-13 21:15:00<br>
5:35 PM,82.4,71.6,70,29.88,10.0,SSE,9.2,-,N/A,,Scattered Clouds,150,2016-05-13 21:35:00<br>
5:55 PM,82.4,69.8,66,29.88,10.0,South,8.1,-,N/A,,Scattered Clouds,180,2016-05-13 21:55:00<br>
6:15 PM,82.4,71.6,70,29.88,10.0,SSE,9.2,-,N/A,,Scattered Clouds,160,2016-05-13 22:15:00<br>
6:35 PM,82.4,69.8,66,29.89,10.0,SSE,4.6,-,N/A,,Clear,160,2016-05-13 22:35:00<br>
6:55 PM,78.8,69.8,74,29.89,9.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-05-13 22:55:00<br>
7:15 PM,78.8,71.6,78,29.89,9.0,SSE,5.8,-,N/A,,Partly Cloudy,160,2016-05-13 23:15:00<br>
7:35 PM,78.8,71.6,78,29.88,8.0,South,8.1,-,N/A,,Clear,170,2016-05-13 23:35:00<br>
